Time,Time Code,Country Name,Country Code,Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],"Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]",Gini index [SI.POV.GINI]
2018,YR2018,Thailand,THA,25.21959016,6491.330268,0.769999981,36.4
2018,YR2018,Timor-Leste,TLS,35.28368568,1251.426645,4.730999947,28.7
2018,YR2018,Togo,TGO,18.10991263,612.785751,3.729000092,42.4
2018,YR2018,Tonga,TON,24.7317278,4676.778221,3.069999933,37.5
2018,YR2018,Trinidad and Tobago,TTO,..,16408.38424,3.336999893,41.3
2018,YR2018,Tunisia,TUN,22.96356612,4199.657332,15.46000004,35.8
2018,YR2018,Turkmenistan,TKM,..,7349.459106,4.234000206,46.4
2018,YR2018,Turks and Caicos Islands,TCA,..,27623.67017,..,..
2018,YR2018,Tuvalu,TUV,..,3501.473933,..,39.1
2018,YR2018,Uganda,UGA,24.32876613,870.7087403,1.922999978,42.7
2018,YR2018,Ukraine,UKR,18.58833885,2336.976318,8.800000191,26.1
2018,YR2018,United Arab Emirates,ARE,23.51150299,39670.91896,2.351999998,26
2018,YR2018,Uruguay,URY,14.95322273,16037.93211,8.340000153,39.7
2018,YR2018,Uzbekistan,UZB,37.37195937,3047.308384,5.835000038,33.5
2018,YR2018,Vanuatu,VUT,26.84773548,2860.012476,1.809000015,37.6
2018,YR2018,"Venezuela, RB",VEN,..,..,5.021999836,46.9
2018,YR2018,Vietnam,VNM,..,3062.749202,1.159999967,35.7
2018,YR2018,Virgin Islands (U.S.),VIR,..,35183.23575,12.42599964,..
2018,YR2018,West Bank and Gaza,PSE,28.32655469,3417.794408,26.26000023,..
2018,YR2018,"Yemen, Rep.",YEM,..,1290.906786,13.14500046,..
2018,YR2018,Zambia,ZMB,38.6410798,1368.601756,12.01000023,57.1
2018,YR2018,Zimbabwe,ZWE,9.687734148,1529.026374,4.796000004,43.2
